Hash(vPC),Name
0x44C05EF6,SET_ACTOR_UPDATE_PRIORITY
0x5C7F63E3,ACTOR_FORCE_NEXT_UPDATE
0x87C49DBD,IS_ANY_ACTOR_IN_SPHERE
0xB42EBC65,SET_NPC_TO_NPC_CRIPPLE_DISABLE
0x135EA21D,SET_NPC_TO_NPC_DAMAGE_SCALE_FACTOR
0xA393AC4E,SET_PLAYER_TO_PLAYER_DAMAGE_SCALE_FACTOR
0x5CFE1E9,SET_NPC_TO_ACTOR_DAMAGE_SCALE_FACTOR
0x83903D1,SET_ACTOR_LOW_DROP_DAMAGE
0x1540A309,SET_ACTOR_MEDIUM_DROP_DAMAGE
0x7CC57FDA,SET_ACTOR_HIGH_DROP_DAMAGE
0x9F6B04C8,SET_ACTOR_DEATH_DROP_DISTANCE
0xDA0CDC91,SET_DAMAGE_SCALE_ENABLE
0x3AD31762,SET_CRIPPLE_ENABLE
0xA9A99DF,SET_CRIPPLE_FLAG
0x38C5F63F,IS_ACTOR_CRIPPLED
0xA5A24484,IS_ACTOR_HANDSUP
0xA4677DD2,SET_ALLOW_COLD_WEATHER_BREATH
0x1F0CD262,SET_DLC_FALLBACK_AVATAR
0x1D1D9387,SET_EMOTION
0xC0F77310,SET_ACTOR_STOP_UPDATE
0x4EFC58BC,GET_ACTOR_STOP_UPDATE
0x22558E3F,IS_ACTOR_IN_ROOM
0x398735FA,REGISTER_TRAFFIC_OBJECTSET
0x67FA18A1,REGISTER_TRAFFIC_ACTOR
0x1444F022,REGISTER_GPS_CURVE_OBJECTSET
0x4B90D22A,SET_PLAYER_TARGET_WEIGHT
0xF1779E65,RESET_PLAYER_TARGET_WEIGHT
0xA819497B,SET_HARDLOCK_TARGET_ANGLE_WEIGHTING
0x8BE2D8B0,SET_ZOMBIE_TARGET_MODE
0x91BB8548,SET_ACTOR_SKIP_VISIBILITY_CHECK
0x8AE58EE1,GET_ACTOR_SKIP_VISIBILITY_CHECK
0xDE0E96F3,FEED_CODE_WARP_DIST
0x911BA31,SET_ACTOR_STREAMING_HIGH_PRIORITY
0x9DFC82,CREATE_ACTORSET_IN_LAYOUT
0x76E8975E,IS_ACTORSET_VALID
0x5454B159,FIND_NAMED_ACTORSET
0x147A0BEE,DESTROY_ACTORSET
0x2739F04D,DISBAND_ACTORSET
0xE09DB6C1,ADD_ACTORSET_MEMBER
0xD637E449,REMOVE_ACTORSET_MEMBER
0xC6FE68DF,IS_ACTOR_IN_ACTORSET
0xC5202810,GET_ACTOR_FROM_ACTORSET
0xA24F4799,GET_ACTORSET_SIZE
0xE6644CE5,SET_DRAW_ACTOR
0x85A9CA6,GET_DRAW_ACTOR
0x5EFB415E,ANIMAL_SPECIES_FLOCK_AND_TUNING_CLEAR_ALL
0x1FD8BA91,ANIMAL_SPECIES_NEEDS_DOMESTICATION_LEVELS
0x11DCCDAA,ANIMAL_SPECIES_SET_SPECIAL_USE_GRINGO
0x6B6191EE,ANIMAL_SPECIES_SET_UNALERTED_BEHAVIOR
0x4DF576A7,ANIMAL_SPECIES_FLOCK_SET_ENABLED
0xBF12100D,ANIMAL_SPECIES_FLOCK_SET_PARAMETER
0x7C795382,ANIMAL_SPECIES_FLOCK_SET_BOOLEAN_PARAMETER
0x338D1CEC,ANIMAL_SPECIES_ADD_EXTERNAL_PATH_ATTRACTION
0xF2110753,ANIMAL_SPECIES_REMOVE_EXTERNAL_PATH_ATTRACTION
0x784C514C,ANIMAL_SPECIES_ADD_EXTERNAL_RANDOM_NOISE
0x4217D912,ANIMAL_SPECIES_ADD_EXTERNAL_REPULSION
0x9D8C2744,ANIMAL_SPECIES_ADD_EXTERNAL_INFLUENCE_FLOCK_REASONER
0x8020C45E,ANIMAL_SPECIES_TUNING_GET_ATTRIB_FLOAT
0x651ACCB1,ANIMAL_SPECIES_TUNING_SET_ATTRIB_BOOL
0x20AD711E,ANIMAL_SPECIES_TUNING_SET_ATTRIB_FLOAT
0x10CC05F1,ANIMAL_SPECIES_TUNING_MOVE_SET_ATTRIB
0xA6A4651B,ANIMAL_SPECIES_TUNING_SET_ATTACHMENT_WITH_OFFSET
0x168AAB9B,ANIMAL_SPECIES_TUNING_SET_ATTACHMENT_WITH_CHILDBONE
0xD05DDBB6,ANIMAL_SPECIES_TUNING_SET_HUNTING_PREY_PROP
0x96B26945,ANIMAL_SPECIES_TUNING_SET_ATTRIB_FLOAT_FROM_TIME
0xE228CC1A,ANIMAL_SPECIES_INIT_BEGIN
0xED6240F0,ANIMAL_SPECIES_INIT_REGISTER
0x760C27,ANIMAL_SPECIES_INIT_END
0xD4DDC119,ANIMAL_SPECIES_GRINGO_CLEAR_ALL
0xBFB65BE8,ANIMAL_SPECIES_GRINGO_LOAD_ALL
0x98073A48,ANIMAL_SPECIES_REL_CLEAR_ALL
0x1E02527F,ANIMAL_SPECIES_REL_SET_ATTACK_GRAB_ENABLED
0x84B474ED,ANIMAL_SPECIES_REL_SET_PREDATOR_AND_PREY
0x9D5C43C9,ANIMAL_SPECIES_REL_SET_THREAT
0xBF8B1BD7,ANIMAL_SPECIES_REL_SET_AVOID
0x3F747178,ANIMAL_SPECIES_REL_SET_PLAY_HUNT
0x586904BD,ANIMAL_SPECIES_REL_SET_PLAY_CHASE
0x70C48A1C,ANIMAL_SPECIES_REL_SET_PLAY_BEG
0x70DE500E,ANIMAL_SPECIES_REL_SET_PLAY_GROWL
